[2026-03-22T13:39:43.798Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.798Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.811Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.811Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.826Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.826Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.838Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.838Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.849Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.849Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.862Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.862Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.876Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.876Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.890Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.890Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.902Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.902Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.915Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.915Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.928Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.929Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.942Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.942Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.953Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.953Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.968Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.968Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.982Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.982Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.996Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.996Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.010Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.010Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:44.023Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.023Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.036Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.036Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.049Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:44.050Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.061Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.061Z] GET http://localhost:8502/_stcore/host-config → 200 (3ms, 636B)
[2026-03-22T13:39:44.076Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.076Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.089Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.089Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.101Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.101Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.115Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.115Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.129Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.129Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:44.142Z] GET http://localhost:8502/_stcore/health → 200 (3ms, 2B)
[2026-03-22T13:39:44.142Z] GET http://localhost:8502/_stcore/host-config → 200 (6ms, 636B)
[2026-03-22T13:39:44.159Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.159Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.170Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.170Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.182Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.182Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.196Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.196Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.210Z] GET http://localhost:8502/_stcore/health → 200 (3ms, 2B)
[2026-03-22T13:39:44.210Z] GET http://localhost:8502/_stcore/host-config → 200 (3ms, 636B)
[2026-03-22T13:39:44.223Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.223Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.236Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.236Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.249Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.249Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.262Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.262Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.274Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.274Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.287Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.287Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.301Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.301Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:44.313Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.314Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:44.325Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.325Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.338Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.338Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.352Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.352Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.365Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.365Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.379Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:44.379Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.390Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.390Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.404Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.404Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.417Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.417Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.430Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.430Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.444Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.444Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.457Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.457Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.470Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.470Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.483Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.483Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:44.496Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:44.496Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:44.510Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:44.510Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
